Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2535_1156,00,5.8999999999999995,4.794067859649658,2.141589403152466,19.765,4.692638502403238,3.8972560930089393,,,,,,,,
2535_1156,01,3.8600000000000003,4.487046718597412,1.985331654548645,13.0275,3.0869314910765686,2.9703847521183864,0.6529902,0.7844279,0.68911433,,0.910601,0.97902167,0.96794057,
2535_1156,02,0.0,0.0,0.0,8.7775,12.999145542580461,8.092054350796378,0.8838794,0.93839216,0.89505106,,0.94599706,0.9994801,0.9839834,
2535_1156,03,0.0,0.0,0.0,39.752500000000005,11.290610653418025,6.769039155357208,0.60377467,0.65473866,0.543773,,0.8335437,0.9973515,0.9767209,
2535_1156,04,0.0,0.0,0.0,59.4275,10.804972445416684,7.472389270901434,0.29334506,0.3727307,0.27349064,,0.8684668,0.99974656,0.92772806,
2535_1156,10,6.5275,4.364228248596191,2.036870002746582,24.025,5.499063475546306,4.663789837393581,,,,,,,,
2535_1156,11,14.790000000000001,4.645537376403809,2.113804578781128,27.9775,2.8875882405504423,2.3616879582636123,0.42336023,0.6040083,0.5259218,,0.82877326,0.9724432,0.90117615,
2535_1156,12,7.7725,5.072370529174805,2.218574047088623,23.565,3.616910672607681,3.1566644570255638,0.5117536,0.723861,0.5604892,,0.8682425,0.98890144,0.9358213,
2535_1156,13,2.485,6.433601379394531,2.57212233543396,6.5975,3.618794998105343,3.0739593579254314,0.8064829,0.9364362,0.9011955,,0.8902422,0.9981511,0.9874855,
2535_1156,14,0.0,0.0,0.0,25.4775,9.395643214601119,7.986390436288277,0.6255957,0.7582966,0.68978035,,0.84223163,0.9995421,0.9781441,
2535_1156,20,10.2,4.944607734680176,2.358208417892456,29.304999999999996,8.011943354376386,5.745619370386373,,,,,,,,
2535_1156,21,9.0625,5.264551639556885,2.8280999660491943,43.6725,8.06296868738909,6.380321074999707,0.4971028,0.66414785,0.5885715,,0.77496725,0.99057674,0.95810306,
2535_1156,22,3.9350000000000005,5.484752178192139,3.357853412628174,30.18,9.321404903909874,7.607441973104858,0.38125986,0.60513616,0.41919547,,0.7856409,0.9960823,0.9072406,
2535_1156,23,2.735,4.436014652252197,2.0891950130462646,24.337500000000002,6.050436569080637,5.042299102675328,0.5875298,0.7888845,0.7220347,,0.79183304,0.9972621,0.9779476,
2535_1156,24,9.5725,4.398015022277832,2.0775904655456543,29.4825,4.419316543712371,3.880338082168783,0.5606258,0.73093915,0.63723874,,0.8406886,0.98445326,0.95459247,
2535_1156,30,1.0725,5.566433429718018,2.394319534301758,16.384999999999998,7.865120537076595,4.868123015061712,,,,,,,,
2535_1156,31,0.057499999999999996,3.0,1.318760871887207,39.7075,6.919347730277655,5.517389270598194,0.5178589,0.64859045,0.54522467,,0.8922958,0.99888945,0.95399153,
