Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2534_1153,21,0.7175,3.564460039138794,1.3698564767837524,14.215,9.568061906436862,6.426033601783472,0.8425802,0.89518446,0.8665334,,0.9585929,0.9994174,0.98863435,
2534_1153,22,5.6899999999999995,4.1898064613342285,1.80703604221344,21.8725,6.080466339010172,3.8250898478288744,0.4960651,0.6330317,0.5040734,,0.8966337,0.99538887,0.9708933,
2534_1153,23,25.0975,12.558422088623047,4.906714916229248,17.822499999999998,4.914013185580025,3.409250535037745,0.53457314,0.64820147,0.4385438,,0.8387897,0.91994584,0.7906672,
2534_1153,24,31.885,12.582326889038086,10.448384284973145,6.36,3.002751572327044,2.264972956073165,0.49216542,0.71389234,0.42080733,,0.5317646,0.7868376,0.4705692,
2534_1153,30,6.4525,10.456412315368652,3.152236223220825,12.6925,6.601733307071105,4.504450445133626,,,,,,,,
2534_1153,31,2.7675,9.40018081665039,3.225872039794922,46.035,11.313620071684587,7.717871434890668,0.6885575,0.7607713,0.716875,,0.9039787,0.99585724,0.96020555,
2534_1153,32,5.36,6.197761058807373,3.003429889678955,5.0625,3.560493827160494,3.2958514519273736,0.6872635,0.77600896,0.68189347,,0.9449944,0.97735035,0.88867176,
2534_1153,33,31.412499999999998,10.242021560668945,4.985382556915283,12.2525,3.6078351356865945,2.962124339402229,0.6184933,0.80138415,0.57028216,,0.7612554,0.92925787,0.7499516,
2534_1153,34,22.1,10.131673812866211,8.009981155395508,0.28500000000000003,3.2982456140350878,1.7316953692709487,0.8003681,0.8642011,0.60845226,,0.8356317,0.89955544,0.63296545,
2534_1153,40,34.515,5.545342445373535,4.177323341369629,10.3125,3.5224242424242425,2.7932896108927543,,,,,,,,
2534_1153,41,24.0625,8.711688041687012,4.48214864730835,23.8975,5.579035463960666,5.407855780567998,0.4519411,0.6468611,0.35109478,,0.75632083,0.94699895,0.7266625,
