Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2538_1150,00,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,01,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,02,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,03,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,04,0.095,1.0,0.0,9.635,5.245459263103269,3.8788675908724413,,,,,,,,
2538_1150,10,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,11,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,12,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,13,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,14,0.695,8.04316520690918,5.2146315574646,14.1175,7.612183460244378,6.586185801917396,,,,,,,,
2538_1150,20,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,21,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,22,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,23,0.0,0,0,0.1625,3.6307692307692307,2.0574011296497394,,,,,,,,
2538_1150,24,3.965,5.806431293487549,3.4300408363342285,35.795,8.490082413744936,6.293748085233644,0.28349203,0.5267021,0.3468777,,0.93188643,0.9970595,0.97753596,
2538_1150,30,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,31,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,32,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,33,0.0,0,0,8.8475,6.282565696524442,5.174530467223444,,,,,,,,
2538_1150,34,2.0825,6.476590633392334,3.7467541694641113,47.5875,9.414289466771736,6.457974356997836,0.42455983,0.50106335,0.4154088,,0.96423733,0.99739313,0.96321285,
2538_1150,40,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,41,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,42,0.0,0,0,0.0,0,0,,,,,,,,
2538_1150,43,6.3125,11.384950637817383,4.828538417816162,17.3675,6.540377141212034,5.289699056598959,,,,,,,,
2538_1150,44,14.094999999999999,9.574139595031738,4.185790538787842,44.2325,7.054936980726841,5.389086570994524,0.2698778,0.49425536,0.191978,,0.7816156,0.968776,0.7575381,
2538_1151,00,10.535,7.4527764320373535,6.980550289154053,34.6975,6.68535197060307,4.967354570729174,0.46156305,0.5998721,0.42038065,,0.9142486,0.9818312,0.91366506,
2538_1151,01,17.49,9.1618070602417,3.963866949081421,35.925000000000004,7.3155184411969385,5.395244171037005,0.45074767,0.5885856,0.41445318,,0.8874849,0.9799899,0.8805336,
2538_1151,02,32.14,11.905024528503418,5.383857727050781,16.02,4.593476903870163,4.434570934353586,0.5583236,0.6934873,0.41232312,,0.80103064,0.92794716,0.6786928,
2538_1151,03,34.115,14.040231704711914,6.852997303009033,17.9975,5.6267537157938605,5.301234006189378,0.33447543,0.5757122,0.28022766,,0.61871934,0.85658544,0.6128627,
2538_1151,04,37.3225,13.978230476379395,7.459556579589844,8.395,4.64145324597975,3.8784506320935095,0.47234508,0.630235,0.3607552,,0.710543,0.86786914,0.6029922,
2538_1151,10,14.135,6.639370441436768,3.4709792137145996,42.309999999999995,6.576045852044434,5.30437942542694,,,,,,,,
2538_1151,11,24.224999999999998,11.334674835205078,6.122044563293457,27.950000000000003,5.615921288014311,4.672233341954961,0.30336884,0.49314332,0.2547565,,0.7963654,0.9503784,0.7886859,
2538_1151,12,31.2575,12.440773963928223,5.588475227355957,24.46,4.599856909239575,3.8183461008663047,0.3512072,0.5437826,0.24696209,,0.61137474,0.88525105,0.5576134,
2538_1151,13,30.04,11.961301803588867,6.78374719619751,12.435,4.295737836751106,3.4905803982020887,0.45340067,0.665324,0.45831537,,0.6189889,0.87858754,0.6100029,
2538_1151,14,30.9425,12.739517211914062,5.7652788162231445,22.805,4.958780969085727,4.0935468496902665,0.47980124,0.6820282,0.53800344,,0.65616083,0.8881258,0.71784294,
2538_1151,20,9.705,6.325089931488037,4.260990142822266,43.3025,7.806015818948097,6.196269362026899,,,,,,,,
2538_1151,21,26.142500000000002,11.068948745727539,5.6402058601379395,30.9375,6.411555555555555,5.434814429516174,0.35653406,0.5225241,0.2562842,,0.8365355,0.9336983,0.68496984,
2538_1151,22,31.645,12.248617172241211,5.5573015213012695,25.322499999999998,5.024879060124396,4.03445192040259,0.4566831,0.62968755,0.30899578,,0.6166347,0.8054936,0.45761794,
2538_1151,23,31.0075,14.113118171691895,5.722099781036377,16.0125,3.5526932084309135,2.879073763639971,0.59484494,0.698794,0.3956483,,0.7356342,0.82742935,0.52337444,
2538_1151,24,41.8,15.860227584838867,6.625546455383301,20.4425,3.9441115323468265,3.4807856547978164,0.33258867,0.5851072,0.21680209,,0.46425465,0.76305556,0.36840373,
2538_1151,30,15.837499999999999,10.991949081420898,5.915994167327881,54.6175,9.886300178514212,6.739174110446727,,,,,,,,
2538_1151,31,16.965,10.674181938171387,5.8758978843688965,43.292500000000004,8.699774787780793,6.8921275562096085,0.29035085,0.37528342,0.2247458,,0.7892866,0.9324616,0.7746052,
2538_1151,32,28.884999999999998,13.486238479614258,5.5260748863220215,17.21,4.169087739686229,3.666857347266351,0.2743597,0.54676247,0.24185914,,0.63920534,0.89114374,0.4223675,
2538_1151,33,21.3475,11.733692169189453,5.515029430389404,20.9,3.9003588516746412,3.7352901113197468,0.75323474,0.84830064,0.72697484,,0.8636849,0.958031,0.82594943,
2538_1151,34,37.285000000000004,13.939385414123535,7.103231430053711,20.424999999999997,5.508935128518972,5.390047582529872,0.3395955,0.56684256,0.2418145,,0.56760913,0.846172,0.39739802,
2538_1151,40,18.8875,8.659695625305176,4.6195292472839355,28.0025,5.820908847424337,4.602654113224929,,,,,,,,
2538_1151,41,15.775,8.73470687866211,4.557154178619385,39.7975,6.507569570952949,5.737361876836711,0.43455768,0.5769175,0.33930403,,0.7869346,0.91966856,0.76274014,
2538_1151,42,10.775,13.554756164550781,5.041879653930664,43.295,11.548100242522231,8.093515361405057,0.32881096,0.38407993,0.28386638,,0.70384324,0.9529898,0.850878,
2538_1151,43,16.88,8.960160255432129,4.4570136070251465,21.252499999999998,4.312316198094342,3.6830970869302178,0.82264143,0.85469663,0.76819384,,0.94556093,0.96786904,0.8957498,
2538_1151,44,25.230000000000004,13.27625846862793,7.336916446685791,37.5875,5.821815763219155,4.682451332104803,0.3366776,0.41697738,0.19668032,,0.7961156,0.88840693,0.63984317,
2538_1152,00,51.12,13.534869194030762,7.581879138946533,16.895,5.36105356614383,4.885565728320188,0.4821489,0.6066241,0.43580076,,0.6626069,0.7909818,0.61511177,
2538_1152,01,58.394999999999996,17.534250259399414,8.943798065185547,6.79,4.4797496318114876,3.6329111647321706,0.45517093,0.6283697,0.3719089,,0.6333054,0.784047,0.5636681,
2538_1152,02,56.665,16.66571044921875,6.679064750671387,5.7525,6.508039982616253,3.892799784337671,0.29468358,0.5504403,0.31477436,,0.38124794,0.6395116,0.36410266,
2538_1152,03,54.142500000000005,16.467424392700195,6.319016456604004,7.68,6.478190104166667,5.16430994859046,0.41785318,0.61608756,0.21952422,,0.44778377,0.66473544,0.24200134,
2538_1152,04,38.5125,14.363648414611816,6.741004943847656,15.03,7.196939454424484,6.542745771961535,0.4906616,0.7830089,0.28278932,,0.57294583,0.87367964,0.3407461,
2538_1152,10,43.045,15.282959938049316,7.384765148162842,11.655,4.5461175461175465,4.1837253049912775,,,,,,,,
2538_1152,11,58.987500000000004,17.349014282226562,8.304398536682129,5.66,5.652385159010601,4.0573095883194314,0.49709046,0.6808872,0.27762124,,0.5340686,0.77480507,0.3498934,
2538_1152,12,64.24499999999999,15.21013355255127,6.224892616271973,5.1125,4.167726161369193,2.950734020540606,0.41808617,0.5099872,0.32312733,,0.5127379,0.6946124,0.42815423,
2538_1152,13,47.1175,14.525070190429688,7.828241348266602,14.17,4.698306280875088,4.266197573083766,0.34121007,0.67801154,0.47092527,,0.43854776,0.8166375,0.58751506,
2538_1152,14,36.26,16.39354705810547,6.775432109832764,16.3475,7.275577305398379,5.0601128711520165,0.21490635,0.7059825,0.43967825,,0.3054003,0.8270519,0.56201214,
2538_1152,20,41.247499999999995,15.376507759094238,8.45263671875,18.8275,5.143407250033196,3.9900806527834654,,,,,,,,
