Tile Index,Sub-Tile Index,Building Density,Building Height Avg,Building Height Stdev,Tree Density,Tree Height Avg,Tree Height Stdev,Shadow Factor 8am (With CDSM),Shadow Factor 12pm (With CDSM),Shadow Factor 4pm (With CDSM),Sky View Factor (With CDSM),Shadow Factor 8am (Without CDSM),Shadow Factor 12pm (Without CDSM),Shadow Factor 4pm (Without CDSM),Sky View Factor (Without CDSM)
2536_1159,12,16.77,7.97122859954834,3.97066330909729,13.919999999999998,3.9321120689655173,3.279331016911075,0.43607908,0.63310254,0.46968448,,0.7695044,0.91943514,0.87942815,
2536_1159,13,19.040000000000003,6.996192455291748,3.8205013275146484,12.962499999999999,4.198071359691418,3.934996914384974,0.7163392,0.86384344,0.74438673,,0.8530967,0.9712964,0.88868845,
2536_1159,14,16.5025,8.345401763916016,3.621262311935425,13.395000000000001,3.9783501306457634,4.057709141162416,0.62923425,0.7467167,0.59821504,,0.87827826,0.9764179,0.8788116,
2536_1159,20,7.725,6.625242710113525,3.29803466796875,31.327500000000004,8.85021147554066,8.081046685463846,,,,,,,,
2536_1159,21,12.632499999999999,5.424698352813721,3.117483377456665,15.5725,2.8142558998234066,2.325913201915339,0.54795104,0.691269,0.5504565,,0.8675926,0.9705126,0.8658427,
2536_1159,22,17.485,6.059908390045166,3.280210256576538,25.0175,3.287099030678525,3.082720265207758,0.54069126,0.7085731,0.5686486,,0.8269372,0.9524623,0.82408774,
2536_1159,23,8.25,6.181818008422852,3.145796060562134,7.465,2.966175485599464,2.265201954393484,0.64782643,0.8035776,0.6880919,,0.823887,0.9689705,0.8665962,
2536_1159,24,15.565000000000001,5.927080154418945,2.9927875995635986,17.0025,3.4918394353771505,3.1197677170804696,0.67131364,0.81897926,0.68657863,,0.82355845,0.9724717,0.85435265,
2536_1159,30,0.0,0.0,0.0,32.7025,10.720281324057794,9.340567300215227,,,,,,,,
2536_1159,31,9.4225,5.7354736328125,3.1152477264404297,30.1275,6.2647913036262555,5.6548005837106405,0.2550038,0.3569306,0.29764482,,0.81154644,0.94210404,0.9183837,
2536_1159,32,14.935,4.491797924041748,1.9607419967651367,18.34,3.5046346782988005,3.056667685896444,0.7149774,0.8360362,0.7435131,,0.89912474,0.98498625,0.93571293,
2536_1159,33,2.645,4.564272403717041,1.7720069885253906,1.2125000000000001,4.294845360824742,3.551923281365363,0.8212291,0.90905,0.86164117,,0.89502877,0.97950125,0.9605118,
2536_1159,34,1.7225000000000001,5.3323655128479,1.7619128227233887,4.0775,4.145922746781116,3.3588988285515806,0.8778876,0.97680306,0.94442695,,0.9060167,0.99903715,0.97174335,
2536_1159,40,0.0025,1.0,0.0,41.225,11.4767131594906,8.611110054148655,,,,,,,,
2536_1159,41,4.955,6.586781024932861,3.107928514480591,62.9,11.963275039745628,9.067105561565704,0.15790711,0.17680535,0.13645071,,0.88851213,0.98978716,0.9283632,
2536_1159,42,4.8,6.5411458015441895,1.8031727075576782,6.43,10.500777604976673,6.462446802870715,0.5432095,0.7216952,0.6485833,,0.7919813,0.9797559,0.9428452,
2536_1159,43,0.005,1.0,0.0,1.7999999999999998,12.2375,6.064283815459534,0.88676345,0.98597336,0.98791045,,0.91127694,0.99502486,0.9931685,
2536_1159,44,0.0025,1.0,0.0,0.0275,2.3636363636363638,3.1701083225750355,0.9296154,0.98763,0.98600614,,0.92992747,0.99502486,0.98611426,
2537_1150,00,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,01,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,02,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,03,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,04,0.0,0.0,0.0,0.015,1.0,0.0,,,,,,,,
2537_1150,10,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,11,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,12,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,14,2.015,7.643920421600342,2.9247817993164062,0.165,1.5909090909090908,0.6736889113762337,,,,,,,,
2537_1150,20,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,21,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,22,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2537_1150,23,0.0,0.0,0.0,0.3,4.325,2.6050031989743636,,,,,,,,
2537_1150,24,0.3675,4.027210712432861,1.1184632778167725,2.5,3.827,2.0873598156522988,0.9021775,0.94737124,0.92186725,,0.97051936,0.9989889,0.9885057,
2537_1150,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
